Date,Open,High,Low,Close,Adj Close,Volume
2013-06-01,14.490000,15.480000,13.830000,14.040000,13.198317,232392700
2013-07-01,14.140000,14.780000,13.960000,14.440000,13.574338,130749800
2013-08-01,14.490000,15.400000,13.110000,14.750000,13.865753,196426600
2013-09-01,14.790000,16.100000,14.670000,15.560000,14.700944,120498300
2013-10-01,15.580000,16.010000,15.000000,15.190000,14.351372,144315300
2013-11-01,15.270000,16.320000,14.520000,15.600000,14.738737,165736900
2013-12-01,15.540000,16.100000,14.900000,16.020000,15.217522,154199400
2014-01-01,15.920000,16.440001,15.330000,15.700000,14.913549,135526300
2014-02-01,15.810000,19.049999,15.320000,18.379999,17.459301,193064200
2014-03-01,17.969999,18.969999,17.559999,17.910000,17.089663,180449700
2014-04-01,18.480000,19.459999,17.879999,18.469999,17.624014,173425200
2014-05-01,18.750000,19.129999,17.709999,19.000000,18.129738,140315000
2014-06-01,19.059999,19.730000,18.230000,18.540001,17.772287,131928300
2014-07-01,18.520000,19.600000,17.420000,17.500000,16.775352,156725900
2014-08-01,17.500000,19.490000,17.340000,19.450001,18.644606,151996300
2014-09-01,19.500000,20.150000,18.219999,18.450001,17.764248,137809700
2014-10-01,18.480000,19.549999,16.770000,19.540001,18.813736,165180300
2014-11-01,19.990000,21.090000,19.379999,20.969999,20.190584,116077400
2014-12-01,20.879999,21.250000,19.100000,20.049999,19.386477,106425100
2015-01-01,20.129999,20.750000,19.080000,19.200001,18.564610,103446600
2015-02-01,19.320000,22.500000,18.940001,22.059999,21.329958,104775900
2015-03-01,22.000000,23.610001,20.459999,20.930000,20.315283,182623400
2015-04-01,21.010000,22.840000,20.650000,22.200001,21.547979,141683400
2015-05-01,22.379999,22.879999,20.379999,22.129999,21.480036,176976600
2015-06-01,22.270000,22.600000,19.969999,20.110001,19.608789,183261400
2015-07-01,20.610001,20.900000,19.090000,19.950001,19.452780,137010100
2015-08-01,20.110001,23.950001,19.850000,22.480000,21.919722,236693700
2015-09-01,21.830000,24.680000,21.400000,24.650000,24.136250,161889300
2015-10-01,24.650000,28.780001,23.469999,28.370001,27.778713,201295100
2015-11-01,28.459999,31.940001,27.629999,31.719999,31.058895,183614000
2015-12-01,32.000000,33.939999,31.969999,32.959999,32.395599,140650100
2016-01-01,32.290001,33.439999,26.450001,29.290001,28.788443,203474500
2016-02-01,29.260000,32.119999,24.750000,31.360001,30.822992,224908200
2016-03-01,31.440001,36.250000,31.040001,35.630001,35.147469,164423500
2016-04-01,35.410000,37.459999,34.630001,35.529999,35.048817,168330900
2016-05-01,35.869999,46.820000,34.400002,46.720001,46.087276,259115400
2016-06-01,46.500000,48.540001,44.570000,47.009998,46.493763,204893800
2016-07-01,46.750000,57.250000,46.029999,57.099998,56.472961,180193400
2016-08-01,57.340000,63.500000,55.500000,61.340000,60.666397,231295300
2016-09-01,61.389999,69.190002,57.320000,68.519997,67.892448,216587400
2016-10-01,68.519997,72.949997,63.700001,71.160004,70.508255,163754700
2016-11-01,71.419998,95.250000,66.580002,92.199997,91.355553,319079100
2016-12-01,92.099998,119.930000,84.769997,106.739998,105.920723,451308200
2017-01-01,104.400002,111.889999,99.110001,109.180000,108.342018,334854800
2017-02-01,110.580002,120.919998,95.699997,101.480003,100.701111,355151200
2017-03-01,103.790001,110.000000,95.169998,108.930000,108.230339,357224000
2017-04-01,108.949997,109.650002,95.489998,104.300003,103.630074,239285700
2017-05-01,104.739998,147.000000,102.309998,144.350006,143.422852,480236100
2017-06-01,144.990005,168.500000,142.110001,144.559998,143.782761,585673700
2017-07-01,145.050003,169.929993,138.580002,162.509995,161.636246,387275400
2017-08-01,162.130005,174.559998,152.910004,169.440002,168.528992,368047900
2017-09-01,169.949997,191.199997,162.710007,178.770004,177.965393,361183400
2017-10-01,180.800003,207.889999,177.000000,206.809998,205.879166,285566600
2017-11-01,209.350006,218.669998,191.229996,211.610001,210.657578,445094200
2017-12-01,199.309998,200.300003,180.580002,193.500000,192.762909,252805400
